Champion,Lane
Aatrox,top
Ahri,mid
Akali,top
Akshan,mid
Alistar,sup
Amumu,sup
Anivia,mid
Annie,mid
Aphelios,bot
Ashe,bot
AurelionSol,mid
Azir,mid
Bard,sup
Blitzcrank,sup
Brand,sup
Braum,sup
Caitlyn,bot
Camille,top
Cassiopeia,mid
Chogath,top
Corki,mid
Darius,top
Diana,jg
Draven,bot
DrMundo,top
Ekko,jg
Elise,jg
Evelynn,jg
Ezreal,bot
Fiddlesticks,jg
Fiora,top
Fizz,mid
Galio,mid
Gangplank,top
Garen,top
Gnar,top
Gragas,top
Graves,jg
Gwen,top
Hecarim,jg
Heimerdinger,top
Illaoi,top
Irelia,top
Ivern,jg
Janna,sup
JarvanIV,jg
Jax,top
Jayce,top
Jhin,bot
Jinx,bot
Kaisa,bot
Kalista,bot
Karma,sup
Karthus,jg
Kassadin,mid
Katarina,mid
Kayle,top
Kayn,jg
Kennen,top
Khazix,jg
Kindred,jg
Kled,top
KogMaw,bot
Leblanc,mid
LeeSin,jg
Leona,sup
Lillia,jg
Lissandra,mid
Lucian,bot
Lulu,sup
Lux,sup
Malphite,top
Malzahar,mid
Maokai,sup
MasterYi,jg
MissFortune,bot
MonkeyKing,jg
Mordekaiser,top
Morgana,sup
Nami,sup
Nasus,top
Nautilus,sup
Neeko,mid
Nidalee,jg
Nocturne,jg
Nunu,jg
Olaf,jg
Orianna,mid
Ornn,top
Pantheon,sup
Poppy,jg
Pyke,sup
Qiyana,mid
Quinn,top
Rakan,sup
Rammus,jg
RekSai,jg
Rell,sup
Renekton,top
Rengar,top
Riven,top
Rumble,top
Ryze,mid
Samira,bot
Sejuani,jg
Senna,sup
Seraphine,sup
Sett,top
Shaco,jg
Shen,top
Shyvana,jg
Singed,top
Sion,top
Sivir,bot
Skarner,jg
Sona,sup
Soraka,sup
Swain,sup
Sylas,mid
Syndra,mid
TahmKench,top
Taliyah,jg
Talon,jg
Taric,sup
Teemo,top
Thresh,sup
Tristana,bot
Trundle,jg
Tryndamere,top
TwistedFate,mid
Twitch,bot
Udyr,jg
Urgot,top
Varus,bot
Vayne,bot
Veigar,mid
Velkoz,sup
Vex,mid
Vi,jg
Viego,jg
Viktor,mid
Vladimir,mid
Volibear,top
Warwick,jg
Xayah,bot
Xerath,sup
XinZhao,jg
Yasuo,mid
Yone,mid
Yorick,top
Yuumi,sup
Zac,jg
Zed,mid
Zeri,bot
Ziggs,bot
Zilean,sup
Zoe,mid
Zyra,sup
